timestamp,open,high,low,close,volume,amount
2025-04-02,17874.0,18091.8,17851.7,17970.4,0.0,0.0
2025-04-03,17976.7,18457.8,17893.1,18293.3,0.0,0.0
2025-04-04,18302.1,18395.7,18090.1,18136.0,0.0,0.0
2025-04-07,18043.8,18300.5,18022.3,18051.6,0.0,0.0
2025-04-08,18057.9,18523.4,18057.9,18471.8,0.0,0.0
2025-04-09,18481.5,18779.0,18404.8,18463.4,0.0,0.0
2025-04-10,18469.7,18885.7,18342.5,18805.4,0.0,0.0
2025-04-11,18818.5,19271.4,18797.5,19073.4,0.0,0.0
2025-04-14,18958.2,19167.5,18949.0,19032.3,0.0,0.0
2025-04-15,19038.8,19133.8,18940.4,18963.4,0.0,0.0
2025-04-16,18972.4,19202.4,18968.2,19171.4,0.0,0.0
2025-04-17,19172.1,19197.3,19072.0,19112.6,0.0,0.0
2025-04-18,19125.0,19178.8,19109.8,19159.7,0.0,0.0
2025-04-21,19160.3,19450.1,19159.5,19340.2,0.0,0.0
2025-04-22,19350.1,19469.9,19243.4,19249.3,0.0,0.0
2025-04-23,19251.8,19295.2,19059.6,19082.8,0.0,0.0
2025-04-24,19082.8,19229.3,19080.2,19214.1,0.0,0.0
2025-04-25,19214.1,19223.4,19031.8,19127.3,0.0,0.0
2025-04-28,19133.2,19256.8,19083.5,19251.8,0.0,0.0
2025-04-29,19251.8,19253.5,19056.1,19082.1,0.0,0.0
2025-04-30,19082.1,19101.4,18786.2,18805.3,0.0,0.0
2025-05-01,18805.3,18826.9,18701.6,18745.6,0.0,0.0
2025-05-02,18745.6,18771.6,18559.2,18565.0,0.0,0.0
2025-05-05,18575.7,18678.4,18556.5,18595.4,0.0,0.0
2025-05-06,18595.4,18722.6,18537.9,18704.5,0.0,0.0
2025-05-07,18702.8,18823.2,18629.6,18690.3,0.0,0.0
2025-05-08,18684.6,18784.8,18492.3,18519.5,0.0,0.0
2025-05-09,18519.5,18650.4,18490.6,18576.1,0.0,0.0
2025-05-12,18527.4,18568.6,18273.8,18311.0,0.0,0.0
2025-05-13,18308.5,18488.5,18305.2,18472.9,0.0,0.0
2025-05-14,18472.0,18645.2,18466.3,18494.6,0.0,0.0
2025-05-15,18497.9,18555.4,18447.3,18478.6,0.0,0.0
2025-05-16,18477.8,18511.7,18298.5,18352.8,0.0,0.0
2025-05-19,18364.3,18547.8,18362.7,18473.1,0.0,0.0
2025-05-20,18464.0,18526.8,18416.3,18521.0,0.0,0.0
2025-05-21,18521.0,18633.1,18504.5,18577.2,0.0,0.0
2025-05-22,18578.8,18598.5,18379.4,18421.1,0.0,0.0
2025-05-23,18421.1,18484.7,18320.9,18431.2,0.0,0.0
2025-05-26,18432.0,18526.5,18422.3,18494.1,0.0,0.0
2025-05-27,18494.1,18532.7,18424.5,18435.1,0.0,0.0
2025-05-28,18434.3,18475.3,18379.2,18396.3,0.0,0.0
2025-05-29,18401.2,18546.2,18261.1,18525.0,0.0,0.0
2025-05-30,18514.4,18555.1,18428.1,18485.9,0.0,0.0
2025-06-02,18477.8,18602.2,18476.9,18587.5,0.0,0.0
2025-06-03,18585.9,18645.6,18505.5,18517.7,0.0,0.0
2025-06-04,18518.5,18628.4,18516.9,18599.1,0.0,0.0
2025-06-05,18599.1,18708.9,18553.9,18626.7,0.0,0.0
2025-06-06,18625.9,18647.9,18505.5,18545.4,0.0,0.0
2025-06-09,18552.7,18617.8,18530.7,18589.3,0.0,0.0
2025-06-10,18587.7,18626.7,18513.1,18588.5,0.0,0.0
2025-06-11,18591.7,18692.4,18545.8,18672.9,0.0,0.0
2025-06-12,18680.3,18884.6,18668.1,18808.3,0.0,0.0
2025-06-13,18803.4,18857.0,18721.3,18824.8,0.0,0.0
2025-06-16,18788.1,18891.8,18780.0,18805.6,0.0,0.0
2025-06-17,18813.7,18849.0,18680.5,18690.3,0.0,0.0
2025-06-18,18690.3,18810.1,18679.7,18714.0,0.0,0.0
2025-06-19,18718.1,18855.1,18665.9,18846.1,0.0,0.0
2025-06-20,18846.1,18917.4,18834.1,18879.6,0.0,0.0
2025-06-23,18810.8,19092.9,18769.0,19084.7,0.0,0.0
2025-06-24,19084.7,19138.3,18931.5,18981.5,0.0,0.0
2025-06-25,18981.5,19018.3,18880.1,18993.3,0.0,0.0
2025-06-26,18992.5,19044.8,18928.3,18959.5,0.0,0.0
2025-06-27,18952.2,19047.8,18927.1,18991.1,0.0,0.0
2025-06-30,18982.2,19139.4,18972.9,19137.0,0.0,0.0
2025-07-01,19136.2,19170.3,19038.0,19114.7,0.0,0.0
2025-07-02,19114.7,19168.9,19077.1,19160.8,0.0,0.0
2025-07-03,19160.8,19180.3,18971.4,19033.8,0.0,0.0
2025-07-04,19034.6,19102.0,19028.1,19064.3,0.0,0.0
2025-07-07,19063.5,19122.7,18968.0,19002.9,0.0,0.0
2025-07-08,19004.5,19115.5,18931.5,19000.4,0.0,0.0
2025-07-09,19001.2,19062.9,18984.4,19037.8,0.0,0.0
2025-07-10,19031.3,19085.1,18915.8,18978.2,0.0,0.0
2025-07-11,18979.0,18990.4,18919.8,18949.5,0.0,0.0
2025-07-14,18896.8,19003.4,18884.7,18949.0,0.0,0.0
2025-07-15,18953.0,19034.1,18848.6,18863.2,0.0,0.0
2025-07-16,18861.6,19071.7,18811.4,18930.1,0.0,0.0
2025-07-17,18939.9,18980.3,18843.6,18936.3,0.0,0.0
2025-07-18,18935.5,19014.5,18923.3,18938.8,0.0,0.0
2025-07-21,18940.4,19112.1,18920.8,19075.4,0.0,0.0
2025-07-22,19075.4,19182.2,19040.2,19171.6,0.0,0.0
2025-07-23,19170.8,19183.9,19075.6,19176.6,0.0,0.0
2025-07-24,19176.6,19200.0,19102.3,19132.4,0.0,0.0
2025-07-25,19132.4,19202.0,19093.4,19157.1,0.0,0.0
2025-07-28,19166.9,19209.2,18929.9,18936.4,0.0,0.0
2025-07-29,18937.2,19015.3,18882.4,18929.1,0.0,0.0
2025-07-30,18930.7,18973.4,18685.4,18693.6,0.0,0.0
2025-07-31,18690.3,18857.8,18689.5,18784.2,0.0,0.0
2025-08-01,18783.4,19124.3,18766.1,19104.5,0.0,0.0
2025-08-04,19092.9,19123.5,18928.0,18964.9,0.0,0.0
2025-08-05,18964.9,18993.6,18880.4,18960.7,0.0,0.0
2025-08-06,18956.6,19090.5,18927.7,19074.9,0.0,0.0
2025-08-07,19074.9,19086.4,18913.5,19003.1,0.0,0.0
2025-08-08,19003.1,19045.3,18943.6,18961.6,0.0,0.0
2025-08-11,18964.0,19000.7,18856.9,18898.4,0.0,0.0
2025-08-12,18898.4,19050.2,18887.3,19010.3,0.0,0.0
2025-08-13,19011.9,19032.3,18935.6,18956.7,0.0,0.0
2025-08-14,18955.9,18972.9,18738.1,18765.5,0.0,0.0
2025-08-15,18767.1,18932.2,18761.5,18904.0,0.0,0.0
2025-08-18,18897.5,18937.1,18836.1,18843.4,0.0,0.0
2025-08-19,18844.2,19014.3,18807.8,18915.5,0.0,0.0
2025-08-20,18913.9,18990.7,18878.2,18954.1,0.0,0.0
2025-08-21,18956.5,18994.8,18890.6,18899.6,0.0,0.0
2025-08-22,18900.4,19188.9,18896.3,19144.8,0.0,0.0
2025-08-25,19144.8,19165.2,18858.5,18885.3,0.0,0.0
2025-08-26,18886.9,19010.0,18870.7,18970.1,0.0,0.0
2025-08-27,18971.7,19048.0,18935.1,19040.6,0.0,0.0
2025-08-28,19040.6,19121.2,18996.7,19095.1,0.0,0.0
2025-08-29,19095.1,19309.0,19050.9,19270.2,0.0,0.0
2025-09-01,19270.2,19327.6,19198.2,19223.6,0.0,0.0
