timestamp,open,high,low,close,volume,amount
2024-10-22,16758.6,16864.7,16755.5,16794.7,0.0,0.0
2024-10-23,16803.2,16883.2,16792.3,16834.5,0.0,0.0
2024-10-24,16843.0,16877.0,16790.3,16863.1,0.0,0.0
2024-10-25,16868.5,16953.8,16856.8,16874.9,0.0,0.0
2024-10-28,16886.5,17025.9,16870.9,16996.5,0.0,0.0
2024-10-29,17001.6,17062.6,16971.9,17043.8,0.0,0.0
2024-10-30,17050.0,17063.5,16963.2,17033.1,0.0,0.0
2024-10-31,17038.5,17088.7,17004.2,17075.4,0.0,0.0
2024-11-01,17080.9,17143.4,17027.9,17024.1,0.0,0.0
2024-11-04,17092.4,17193.1,17088.4,17131.3,0.0,0.0
2024-11-05,17140.3,17208.6,17121.0,17192.9,0.0,0.0
2024-11-06,17199.9,17210.2,16909.6,16977.1,0.0,0.0
2024-11-07,16984.0,17033.1,16908.6,16994.7,0.0,0.0
2024-11-08,17002.5,17003.2,16746.5,16789.8,0.0,0.0
2024-11-11,16788.1,16819.8,16665.5,16700.2,0.0,0.0
2024-11-12,16703.9,16806.1,16694.5,16757.8,0.0,0.0
2024-11-13,16763.1,16806.7,16652.1,16657.8,0.0,0.0
2024-11-14,16664.7,16778.6,16642.0,16690.1,0.0,0.0
2024-11-15,16698.5,16808.1,16673.9,16707.5,0.0,0.0
2024-11-18,16703.2,16812.9,16685.3,16790.9,0.0,0.0
2024-11-19,16800.2,16801.8,16659.5,16766.6,0.0,0.0
2024-11-20,16770.3,16816.4,16670.9,16721.2,0.0,0.0
2024-11-21,16723.3,16832.5,16660.7,16673.0,0.0,0.0
2024-11-22,16680.6,16694.5,16405.2,16536.5,0.0,0.0
2024-11-25,16621.1,16711.9,16582.6,16648.7,0.0,0.0
2024-11-26,16654.0,16798.2,16544.5,16700.6,0.0,0.0
2024-11-27,16707.4,16866.7,16683.5,16823.2,0.0,0.0
2024-11-28,16832.4,16838.8,16706.3,16742.3,0.0,0.0
2024-11-29,16750.8,16798.9,16702.2,16750.8,0.0,0.0
2024-12-02,16759.3,16778.3,16631.4,16685.0,0.0,0.0
2024-12-03,16691.8,16793.6,16669.6,16746.1,0.0,0.0
2024-12-04,16752.9,16799.0,16681.9,16737.2,0.0,0.0
2024-12-05,16744.0,16795.7,16686.3,16784.1,0.0,0.0
2024-12-06,16790.2,16856.5,16709.9,16745.0,0.0,0.0
2024-12-09,16743.2,16808.2,16704.3,16735.5,0.0,0.0
2024-12-10,16744.7,16781.2,16655.9,16694.2,0.0,0.0
2024-12-11,16701.9,16772.0,16678.1,16694.4,0.0,0.0
2024-12-12,16703.6,16782.7,16663.1,16663.5,0.0,0.0
2024-12-13,16670.3,16834.2,16662.3,16792.7,0.0,0.0
2024-12-16,16789.4,16863.9,16757.6,16810.8,0.0,0.0
2024-12-17,16818.4,16895.6,16813.6,16845.3,0.0,0.0
2024-12-18,16855.4,16932.7,16643.5,16651.2,0.0,0.0
2024-12-19,16658.0,16979.1,16648.3,16874.5,0.0,0.0
2024-12-20,16881.3,16925.9,16800.0,16884.6,0.0,0.0
2024-12-23,16882.8,16918.7,16795.3,16824.9,0.0,0.0
2024-12-24,16830.1,16868.6,16799.9,16827.5,0.0,0.0
2024-12-25,16834.4,16861.9,16832.7,16838.9,0.0,0.0
2024-12-26,16840.8,16886.2,16821.4,16868.0,0.0,0.0
2024-12-27,16874.8,16955.8,16855.2,16923.0,0.0,0.0
2024-12-30,16938.0,16940.4,16735.2,16786.5,0.0,0.0
2024-12-31,16791.7,16835.6,16648.7,16658.0,0.0,0.0
2025-01-01,16664.0,16674.4,16658.3,16661.2,0.0,0.0
2025-01-02,16664.0,16856.9,16558.1,16617.4,0.0,0.0
2025-01-03,16622.8,16692.9,16612.3,16683.5,0.0,0.0
2025-01-06,16680.6,16903.5,16667.6,16821.4,0.0,0.0
2025-01-07,16828.2,16834.0,16677.6,16671.6,0.0,0.0
2025-01-08,16678.4,16792.9,16637.9,16704.8,0.0,0.0
2025-01-09,16711.6,16782.4,16659.3,16677.6,0.0,0.0
2025-01-10,16687.6,16708.7,16533.8,16574.8,0.0,0.0
2025-01-13,16575.1,16684.0,16563.9,16667.0,0.0,0.0
2025-01-14,16673.7,16767.6,16644.3,16759.2,0.0,0.0
2025-01-15,16766.0,16899.4,16742.7,16786.5,0.0,0.0
2025-01-16,16790.8,16875.3,16785.9,16842.4,0.0,0.0
2025-01-17,16849.2,16906.7,16791.0,16803.4,0.0,0.0
2025-01-20,16816.7,17071.7,16800.3,17032.1,0.0,0.0
2025-01-21,17041.4,17071.7,16889.0,17030.6,0.0,0.0
2025-01-22,17036.6,17043.9,16948.6,16942.6,0.0,0.0
2025-01-23,16950.2,17002.3,16885.6,16950.4,0.0,0.0
2025-01-24,16958.1,17018.3,16879.9,16967.2,0.0,0.0
2025-01-27,16958.5,17035.3,16905.9,16963.9,0.0,0.0
2025-01-28,16969.0,16972.2,16842.0,16862.1,0.0,0.0
2025-01-29,16868.7,16891.4,16790.3,16849.1,0.0,0.0
2025-01-30,16852.6,17021.0,16847.7,16888.9,0.0,0.0
2025-01-31,16895.0,17009.1,16870.5,16884.9,0.0,0.0
2025-02-03,16769.4,17010.2,16643.9,16995.2,0.0,0.0
2025-02-04,17001.2,17015.2,16797.8,16956.0,0.0,0.0
2025-02-05,16961.2,17007.2,16900.5,16934.5,0.0,0.0
2025-02-06,16939.7,16981.0,16904.0,16947.0,0.0,0.0
2025-02-07,16956.3,16981.1,16771.4,16802.0,0.0,0.0
2025-02-10,16802.3,16895.0,16730.7,16840.0,0.0,0.0
2025-02-11,16846.8,16999.7,16832.1,16959.3,0.0,0.0
2025-02-12,16966.1,17068.7,16883.0,16984.9,0.0,0.0
2025-02-13,16998.3,17119.6,16965.0,17108.6,0.0,0.0
2025-02-14,17114.7,17122.9,17003.1,17053.1,0.0,0.0
2025-02-17,17055.1,17084.4,16972.2,16991.3,0.0,0.0
2025-02-18,17000.6,17051.4,16964.1,16994.0,0.0,0.0
2025-02-19,16996.0,17126.3,16986.6,17017.5,0.0,0.0
2025-02-20,17020.9,17153.0,17015.2,17141.3,0.0,0.0
2025-02-21,17148.1,17157.1,17035.5,17046.5,0.0,0.0
2025-02-24,17108.8,17182.9,17012.3,17028.2,0.0,0.0
2025-02-25,17036.7,17194.1,17022.8,17178.2,0.0,0.0
2025-02-26,17184.3,17242.0,17110.8,17155.4,0.0,0.0
2025-02-27,17163.1,17256.1,17103.1,17097.9,0.0,0.0
2025-02-28,17106.4,17278.0,17081.7,17196.6,0.0,0.0
2025-03-03,17213.4,17310.6,17119.4,17275.7,0.0,0.0
2025-03-04,17283.4,17477.8,17214.4,17465.9,0.0,0.0
2025-03-05,17475.3,17612.6,17333.9,17595.2,0.0,0.0
2025-03-06,17602.0,17724.6,17567.5,17603.3,0.0,0.0
2025-03-07,17610.3,17744.4,17599.2,17645.3,0.0,0.0
2025-03-10,17655.6,17769.8,17647.5,17694.1,0.0,0.0
2025-03-11,17702.8,17959.4,17694.6,17905.5,0.0,0.0
2025-03-12,17913.4,17977.7,17883.1,17896.6,0.0,0.0
2025-03-13,17905.3,17936.4,17774.3,17819.0,0.0,0.0
2025-03-14,17825.2,17842.8,17708.7,17781.7,0.0,0.0
2025-03-17,17783.9,17925.2,17754.8,17905.0,0.0,0.0
2025-03-18,17913.7,17995.2,17884.2,17968.4,0.0,0.0
2025-03-19,17977.2,18094.5,17947.0,18008.4,0.0,0.0
2025-03-20,18017.2,18044.6,17817.7,17871.6,0.0,0.0
2025-03-21,17879.5,17922.2,17815.1,17837.7,0.0,0.0
2025-03-24,17834.0,17977.1,17834.0,17874.0,0.0,0.0
2025-03-25,17881.9,17979.9,17871.1,17902.3,0.0,0.0
2025-03-26,17907.7,17936.7,17813.6,17821.4,0.0,0.0
2025-03-27,17829.3,17920.4,17794.5,17881.1,0.0,0.0
2025-03-28,17887.3,17959.3,17826.0,17924.1,0.0,0.0
2025-03-31,17921.2,17967.6,17858.3,17907.5,0.0,0.0
2025-04-01,17913.8,17935.3,17847.5,17867.8,0.0,0.0
2025-04-02,17874.0,18091.8,17851.7,17970.4,0.0,0.0
2025-04-03,17976.7,18457.8,17893.1,18293.3,0.0,0.0
2025-04-04,18302.1,18395.7,18090.1,18136.0,0.0,0.0
2025-04-07,18043.8,18300.5,18022.3,18051.6,0.0,0.0
2025-04-08,18057.9,18523.4,18057.9,18471.8,0.0,0.0
2025-04-09,18481.5,18779.0,18404.8,18463.4,0.0,0.0
2025-04-10,18469.7,18885.7,18342.5,18805.4,0.0,0.0
2025-04-11,18818.5,19271.4,18797.5,19073.4,0.0,0.0
2025-04-14,18958.2,19167.5,18949.0,19032.3,0.0,0.0
2025-04-15,19038.8,19133.8,18940.4,18963.4,0.0,0.0
2025-04-16,18972.4,19202.4,18968.2,19171.4,0.0,0.0
2025-04-17,19172.1,19197.3,19072.0,19112.6,0.0,0.0
2025-04-18,19125.0,19178.8,19109.8,19159.7,0.0,0.0
2025-04-21,19160.3,19450.1,19159.5,19340.2,0.0,0.0
2025-04-22,19350.1,19469.9,19243.4,19249.3,0.0,0.0
2025-04-23,19251.8,19295.2,19059.6,19082.8,0.0,0.0
2025-04-24,19082.8,19229.3,19080.2,19214.1,0.0,0.0
2025-04-25,19214.1,19223.4,19031.8,19127.3,0.0,0.0
2025-04-28,19133.2,19256.8,19083.5,19251.8,0.0,0.0
2025-04-29,19251.8,19253.5,19056.1,19082.1,0.0,0.0
2025-04-30,19082.1,19101.4,18786.2,18805.3,0.0,0.0
2025-05-01,18805.3,18826.9,18701.6,18745.6,0.0,0.0
2025-05-02,18745.6,18771.6,18559.2,18565.0,0.0,0.0
2025-05-05,18575.7,18678.4,18556.5,18595.4,0.0,0.0
2025-05-06,18595.4,18722.6,18537.9,18704.5,0.0,0.0
2025-05-07,18702.8,18823.2,18629.6,18690.3,0.0,0.0
2025-05-08,18684.6,18784.8,18492.3,18519.5,0.0,0.0
2025-05-09,18519.5,18650.4,18490.6,18576.1,0.0,0.0
2025-05-12,18527.4,18568.6,18273.8,18311.0,0.0,0.0
2025-05-13,18308.5,18488.5,18305.2,18472.9,0.0,0.0
2025-05-14,18472.0,18645.2,18466.3,18494.6,0.0,0.0
2025-05-15,18497.9,18555.4,18447.3,18478.6,0.0,0.0
2025-05-16,18477.8,18511.7,18298.5,18352.8,0.0,0.0
2025-05-19,18364.3,18547.8,18362.7,18473.1,0.0,0.0
2025-05-20,18464.0,18526.8,18416.3,18521.0,0.0,0.0
2025-05-21,18521.0,18633.1,18504.5,18577.2,0.0,0.0
2025-05-22,18578.8,18598.5,18379.4,18421.1,0.0,0.0
2025-05-23,18421.1,18484.7,18320.9,18431.2,0.0,0.0
2025-05-26,18432.0,18526.5,18422.3,18494.1,0.0,0.0
2025-05-27,18494.1,18532.7,18424.5,18435.1,0.0,0.0
2025-05-28,18434.3,18475.3,18379.2,18396.3,0.0,0.0
2025-05-29,18401.2,18546.2,18261.1,18525.0,0.0,0.0
2025-05-30,18514.4,18555.1,18428.1,18485.9,0.0,0.0
2025-06-02,18477.8,18602.2,18476.9,18587.5,0.0,0.0
2025-06-03,18585.9,18645.6,18505.5,18517.7,0.0,0.0
2025-06-04,18518.5,18628.4,18516.9,18599.1,0.0,0.0
2025-06-05,18599.1,18708.9,18553.9,18626.7,0.0,0.0
2025-06-06,18625.9,18647.9,18505.5,18545.4,0.0,0.0
2025-06-09,18552.7,18617.8,18530.7,18589.3,0.0,0.0
2025-06-10,18587.7,18626.7,18513.1,18588.5,0.0,0.0
2025-06-11,18591.7,18692.4,18545.8,18672.9,0.0,0.0
2025-06-12,18680.3,18884.6,18668.1,18808.3,0.0,0.0
2025-06-13,18803.4,18857.0,18721.3,18824.8,0.0,0.0
2025-06-16,18788.1,18891.8,18780.0,18805.6,0.0,0.0
2025-06-17,18813.7,18849.0,18680.5,18690.3,0.0,0.0
2025-06-18,18690.3,18810.1,18679.7,18714.0,0.0,0.0
2025-06-19,18718.1,18855.1,18665.9,18846.1,0.0,0.0
2025-06-20,18846.1,18917.4,18834.1,18879.6,0.0,0.0
2025-06-23,18810.8,19092.9,18769.0,19084.7,0.0,0.0
2025-06-24,19084.7,19138.3,18931.5,18981.5,0.0,0.0
2025-06-25,18981.5,19018.3,18880.1,18993.3,0.0,0.0
2025-06-26,18992.5,19044.8,18928.3,18959.5,0.0,0.0
2025-06-27,18952.2,19047.8,18927.1,18991.1,0.0,0.0
2025-06-30,18982.2,19139.4,18972.9,19137.0,0.0,0.0
2025-07-01,19136.2,19170.3,19038.0,19114.7,0.0,0.0
2025-07-02,19114.7,19168.9,19077.1,19160.8,0.0,0.0
2025-07-03,19160.8,19180.3,18971.4,19033.8,0.0,0.0
2025-07-04,19034.6,19102.0,19028.1,19064.3,0.0,0.0
2025-07-07,19063.5,19122.7,18968.0,19002.9,0.0,0.0
2025-07-08,19004.5,19115.5,18931.5,19000.4,0.0,0.0
2025-07-09,19001.2,19062.9,18984.4,19037.8,0.0,0.0
2025-07-10,19031.3,19085.1,18915.8,18978.2,0.0,0.0
2025-07-11,18979.0,18990.4,18919.8,18949.5,0.0,0.0
2025-07-14,18896.8,19003.4,18884.7,18949.0,0.0,0.0
2025-07-15,18953.0,19034.1,18848.6,18863.2,0.0,0.0
2025-07-16,18861.6,19071.7,18811.4,18930.1,0.0,0.0
2025-07-17,18939.9,18980.3,18843.6,18936.3,0.0,0.0
2025-07-18,18935.5,19014.5,18923.3,18938.8,0.0,0.0
2025-07-21,18940.4,19112.1,18920.8,19075.4,0.0,0.0
2025-07-22,19075.4,19182.2,19040.2,19171.6,0.0,0.0
2025-07-23,19170.8,19183.9,19075.6,19176.6,0.0,0.0
2025-07-24,19176.6,19200.0,19102.3,19132.4,0.0,0.0
2025-07-25,19132.4,19202.0,19093.4,19157.1,0.0,0.0
2025-07-28,19166.9,19209.2,18929.9,18936.4,0.0,0.0
2025-07-29,18937.2,19015.3,18882.4,18929.1,0.0,0.0
2025-07-30,18930.7,18973.4,18685.4,18693.6,0.0,0.0
2025-07-31,18690.3,18857.8,18689.5,18784.2,0.0,0.0
2025-08-01,18783.4,19124.3,18766.1,19104.5,0.0,0.0
2025-08-04,19092.9,19123.5,18928.0,18964.9,0.0,0.0
2025-08-05,18964.9,18993.6,18880.4,18960.7,0.0,0.0
2025-08-06,18956.6,19090.5,18927.7,19074.9,0.0,0.0
2025-08-07,19074.9,19086.4,18913.5,19003.1,0.0,0.0
2025-08-08,19003.1,19045.3,18943.6,18961.6,0.0,0.0
2025-08-11,18964.0,19000.7,18856.9,18898.4,0.0,0.0
2025-08-12,18898.4,19050.2,18887.3,19010.3,0.0,0.0
2025-08-13,19011.9,19032.3,18935.6,18956.7,0.0,0.0
2025-08-14,18955.9,18972.9,18738.1,18765.5,0.0,0.0
2025-08-15,18767.1,18932.2,18761.5,18904.0,0.0,0.0
2025-08-18,18897.5,18937.1,18836.1,18843.4,0.0,0.0
2025-08-19,18844.2,19014.3,18807.8,18915.5,0.0,0.0
2025-08-20,18913.9,18990.7,18878.2,18954.1,0.0,0.0
2025-08-21,18956.5,18994.8,18890.6,18899.6,0.0,0.0
2025-08-22,18900.4,19188.9,18896.3,19144.8,0.0,0.0
2025-08-25,19144.8,19165.2,18858.5,18885.3,0.0,0.0
2025-08-26,18886.9,19010.0,18870.7,18970.1,0.0,0.0
2025-08-27,18971.7,19048.0,18935.1,19040.6,0.0,0.0
2025-08-28,19040.6,19121.2,18996.7,19095.1,0.0,0.0
2025-08-29,19095.1,19309.0,19050.9,19270.2,0.0,0.0
2025-09-01,19270.2,19327.6,19198.2,19223.6,0.0,0.0
